gen_name|original_name|last|lastSz|askPx|askSz|bidPx|bidSz|open24h|high24h|low24h|volCcy24h|vol24h|ts|sodUtc0|sodUtc8|alias|baseCcy|category|ctMult|ctType|ctVal|ctValCcy|expTime|instFamily|instType_y|lever|listTime|lotSz|maxIcebergSz|maxLmtAmt|maxLmtSz|maxMktAmt|maxMktSz|maxStopSz|maxTriggerSz|maxTwapSz|minSz|optType|quoteCcy|settleCcy|state|stk|tickSz|uly
SANDUSDC|SAND-USDC|0.4789|159.2397|0.4799|270|0.4796|100|0.4658|0.4845|0.4563|20559.48695513|43550.831|1707816698010|0.4819|0.4739||SAND|1|||||||SPOT|5|1653975320000|0.0001|99999999999999.0000000000000000|20000000|99999999999999|1000000|1000000|1000000|99999999999999.0000000000000000|99999999999999.0000000000000000|10||USDC||live||0.0001|
APTUSDT|APT-USDT|9.2514|88.2791|9.2508|0.3167|9.2489|24.3321|8.8882|9.2911|8.7558|8242001.6173396|907890.0212|1707816696805|9.1627|9.1062||APT|1|||||||SPOT|10|1666141200000|0.0001|99999999999999.0000000000000000|20000000|99999999999999|1000000|1000000|1000000|99999999999999.0000000000000000|99999999999999.0000000000000000|0.1||USDT||live||0.0001|
FRONTUSDT|FRONT-USDT|0.4632|12.521588|0.4631|471.388656|0.4624|936.326616|0.4639|0.4792|0.4422|340738.1349507244|744326.650505|1707816695709|0.4616|0.4509||FRONT|1|||||||SPOT|5|1600144020000|0.000001|999999999999.0000000000000000|20000000|999999999999|1000000|1000000|1000000|999999999999.0000000000000000|999999999999.0000000000000000|10||USDT||live||0.0001|
GASUSDT|GAS-USDT|6.044|3|6.048|16.277748|6.045|122.567213|5.935|6.117|5.822|729341.60316539|121002.819536|1707816698203|6.082|6.024||GAS|1|||||||SPOT|5|1548133413000|0.000001|999999999999.0000000000000000|20000000|999999999999|1000000|1000000|1000000|999999999999.0000000000000000|999999999999.0000000000000000|1||USDT||live||0.001|
TRXUSDT|TRX-USDT|0.12552|39|0.12552|2608.087457|0.12551|4025.012999|0.12511|0.12659|0.12433|4659890.28888188218|37209022.859032|1707816696009|0.12498|0.12567||TRX|1|||||||SPOT|10|1548133413000|0.000001|999999999999.0000000000000000|20000000|999999999999|1000000|1000000|1000000|999999999999.0000000000000000|999999999999.0000000000000000|10||USDT||live||0.00001|
CELRUSDT|CELR-USDT|0.0192|546.5873|0.01918|28473.734097|0.01915|10146.168707|0.01846|0.0196|0.01803|193877.28170777388|10213154.624816|1707816694707|0.01933|0.01897||CELR|1|||||||SPOT|5|1617008400000|0.000001|999999999999.0000000000000000|20000000|999999999999|1000000|1000000|1000000|999999999999.0000000000000000|999999999999.0000000000000000|100||USDT||live||0.00001|
CELOUSDT|CELO-USDT|0.7387|270|0.7388|470|0.7382|540|0.706|0.7485|0.6943|928447.230015222|1277750.721004|1707816697209|0.7431|0.718||CELO|1|||||||SPOT|5|1594939857000|0.000001|999999999999.0000000000000000|20000000|999999999999|1000000|1000000|1000000|999999999999.0000000000000000|999999999999.0000000000000000|10||USDT||live||0.0001|
CSPRUSDC|CSPR-USDC|0.03415|509.4657|0.03433|2938.0415|0.03419|48562.1757|0.03349|0.0344|0.03324|8778.932698636|257391.43|1707816696015|0.03431|0.03408||CSPR|1|||||||SPOT||1658816142000|0.0001|99999999999999.0000000000000000|20000000|99999999999999|1000000|1000000|1000000|99999999999999.0000000000000000|99999999999999.0000000000000000|100||USDC||live||0.00001|
SANDUSDT|SAND-USDT|0.4798|144.53893|0.4797|1360.325524|0.4795|4462.33386|0.4653|0.4853|0.4561|2181170.5000579001|4614831.072932|1707816697902|0.4813|0.4734||SAND|1|||||||SPOT|5|1616029200000|0.000001|999999999999.0000000000000000|20000000|999999999999|1000000|1000000|1000000|999999999999.0000000000000000|999999999999.0000000000000000|10||USDT||live||0.0001|
LATUSDT|LAT-USDT|0.0078|17591.415175|0.00781|10000|0.0078|10165.744578|0.00753|0.0079|0.00745|478229.04664390208|62290553.060951|1707816664011|0.00779|0.00769||LAT|1|||||||SPOT|3|1620791102000|0.000001|999999999999.0000000000000000|20000000|999999999999|1000000|1000000|1000000|999999999999.0000000000000000|999999999999.0000000000000000|100||USDT||live||0.00001|
APTUSDC|APT-USDC|9.2499|0.1201|9.257|44.3249|9.2468|26.1291|8.8574|9.2825|8.7592|34485.27374696|3809.7186|1707816693913|9.1838|9.1154||APT|1|||||||SPOT|10|1666141200000|0.0001|99999999999999.0000000000000000|20000000|99999999999999|1000000|1000000|1000000|99999999999999.0000000000000000|99999999999999.0000000000000000|0.1||USDC||live||0.0001|
DMAILUSDT|DMAIL-USDT|0.5916|443.948|0.5913|80|0.5901|62.877|0.5022|0.623|0.4873|4271281.4722518|7588947.651|1707816697021|0.5667|0.5289||DMAIL|1|||||||SPOT|5|1706520963000|0.001|999999999999999.0000000000000000|20000000|999999999999999|1000000|1000000|1000000|999999999999999.0000000000000000|999999999999999.0000000000000000|10||USDT||live||0.0001|
KLAYUSDT|KLAY-USDT|0.231|1012.5|0.231|2025|0.2308|5326.350625|0.2269|0.2348|0.2192|1006231.6918373996|4408050.72772|1707816691203|0.2297|0.2287||KLAY|1|||||||SPOT|5|1599703200000|0.000001|999999999999.0000000000000000|20000000|999999999999|1000000|1000000|1000000|999999999999.0000000000000000|999999999999.0000000000000000|10||USDT||live||0.0001|
TUSDT|T-USDT|0.02704|1379.7514|0.02704|11594.2486|0.02701|6000|0.02652|0.02755|0.02625|103850.563288867|3852510.998|1707816693206|0.02734|0.02692||T|1|||||||SPOT||1617163770000|0.0001|99999999999999.0000000000000000|20000000|99999999999999|1000000|1000000|1000000|99999999999999.0000000000000000|99999999999999.0000000000000000|100||USDT||live||0.00001|
SUNUSDT|SUN-USDT|0.007408|3010.417012|0.007412|16013.589214|0.007407|13706.81771|0.007335|0.007444|0.007291|342627.483780041462|46564647.344422|1707816697213|0.007361|0.007385||SUN|1|||||||SPOT||1625468400000|0.000001|999999999999.0000000000000000|20000000|999999999999|1000000|1000000|1000000|999999999999.0000000000000000|999999999999.0000000000000000|100||USDT||live||0.000001|
CROUSDT|CRO-USDT|0.09034|133.7364|0.09037|335.89694|0.09034|30.029887|0.08589|0.09802|0.08533|3169928.01445875763|34725773.471404|1707816698203|0.08872|0.0875||CRO|1|||||||SPOT|5|1548133413000|0.000001|999999999999.0000000000000000|20000000|999999999999|1000000|1000000|1000000|999999999999.0000000000000000|999999999999.0000000000000000|10||USDT||live||0.00001|
RAYUSDT|RAY-USDT|1.0968|25.511761|1.0968|60.070389|1.0961|91.738672|1.0591|1.1537|1.0353|504992.7433742811|459373.042002|1707816689012|1.1263|1.1008||RAY|1|||||||SPOT||1639723800000|0.000001|999999999999.0000000000000000|20000000|999999999999|1000000|1000000|1000000|999999999999.0000000000000000|999999999999.0000000000000000|1||USDT||live||0.0001|
FLMUSDT|FLM-USDT|0.08267|120.962864|0.08267|200|0.08264|1079.805486|0.07961|0.08359|0.07866|135219.19492354481|1649224.311251|1707816694211|0.08299|0.08062||FLM|1|||||||SPOT|5|1601247097000|0.000001|999999999999.0000000000000000|20000000|999999999999|1000000|1000000|1000000|999999999999.0000000000000000|999999999999.0000000000000000|100||USDT||live||0.00001|
SOLUSDT|SOL-USDT|114.46|0.0138|114.46|232.801085|114.45|0.014611|105.4|115.19|103.43|149722412.44122927|1359687.239535|1707816698114|111.66|108.83||SOL|1|||||||SPOT|10|1601431200000|0.000001|999999999999.0000000000000000|20000000|999999999999|1000000|1000000|1000000|999999999999.0000000000000000|999999999999.0000000000000000|0.01||USDT||live||0.01|
API3USDT|API3-USDT|3.539|3.673354|3.539|32.277045|3.536|272.546047|3.638|3.866|3.502|6443239.62756874|1742573.142817|1707816698007|3.673|3.806||API3|1|||||||SPOT|5|1607464841000|0.000001|999999999999.0000000000000000|20000000|999999999999|1000000|1000000|1000000|999999999999.0000000000000000|999999999999.0000000000000000|1||USDT||live||0.001|
YFIUSDT|YFI-USDT|7715|0.012962|7715|0.059603|7714|0.027041|7363|7833|7295|1017790.016923|133.611681|1707816698014|7639|7476||YFI|1|||||||SPOT|5|1598569239000|0.000001|999999999999.0000000000000000|20000000|999999999999|1000000|1000000|1000000|999999999999.0000000000000000|999999999999.0000000000000000|0.0005||USDT||live||1|
SWFTCUSDT|SWFTC-USDT|0.002916|9863.369988|0.002918|101.172643|0.002906|49482.043068|0.002893|0.003086|0.002628|1322678.449390260014|460880167.551309|1707816696905|0.003019|0.00288||SWFTC|1|||||||SPOT||1548133413000|0.000001|999999999999.0000000000000000|20000000|999999999999|1000000|1000000|1000000|999999999999.0000000000000000|999999999999.0000000000000000|100||USDT||live||0.000001|
CROUSDC|CRO-USDC|0.09032|113.2865|0.09052|16196.454|0.09027|18.0833|0.08591|0.09674|0.08539|226889.628001135|2504556.1378|1707816696906|0.08891|0.08754||CRO|1|||||||SPOT||1655787830000|0.0001|99999999999999.0000000000000000|20000000|99999999999999|1000000|1000000|1000000|99999999999999.0000000000000000|99999999999999.0000000000000000|10||USDC||live||0.00001|
