gen_name|original_name|open|high|low|close|amount|vol|count|bid|bidSize|ask|askSize
BORGUSDT|borgusdt|0.1702|0.1793|0.1639|0.1712|6232063.7794|1066453.56148016|29277|0.1694|422.3324|0.1738|155.7283
SDAOUSDT|sdaousdt|0.3686|0.3722|0.3533|0.3556|186299.7062|68020.97760986|3810|0.3536|126.9931|0.3559|126.4578
DCKUSDT|dckusdt|0.04846|0.04997|0.04707|0.04986|4099475.39|200393.9260237|8071|0.04974|7450.85|0.05011|3274.64
ACTUSDT|actusdt|0.001248|0.001262|0.001229|0.001251|64628867.1142552|79870.51098412|1466|0.001235|9727.43|0.001262|257702.54
DOTUSDT|dotusdt|7.2512|7.449|7.1973|7.3912|2761809.423736232|20105767.4098492|80489|7.3877|624.5021|7.3951|19.7399
GROKUSDT|grokusdt|0.003097|0.003258|0.003076|0.00319|370921641.36085683|1161969.1123011976|14341|0.003183|9849.2925|0.0032|9346.745
SUPERUSDT|superusdt|0.9378|1.17|0.8935|1.0046|119713.09474690043|116403.54933182|2265|1.0003|10.654|1.0073|1313.867
SOLOUSDT|solousdt|0.16503|0.17077|0.1642|0.16964|1399666.8152263004|234249.538588608|6013|0.16912|912.8683|0.1701|728.0306
LINKUSDT|linkusdt|20.268|20.8483|20.0677|20.1516|886065.1960006941|18035658.38894627|85208|20.1448|19.86|20.1593|1.03
STGUSDT|stgusdt|0.576|0.5813|0.5697|0.5794|7515.659657409199|4325.86603542|34|0.5797|2441.4028|0.5812|52.0432
DOTUSDD|dotusdd|7.2316|7.4922|7.1827|7.3883|27065.353727128855|196855.93949058|2125|7.3875|23.5522|7.3994|53.069
LRCUSDT|lrcusdt|0.2419|0.2472|0.2397|0.2421|1453444.7184842508|351609.96327367|9246|0.242|4218.4308|0.2423|407.4975
ADPUSDT|adpusdt|0.001978|0.002021|0.001968|0.00201|33857341.6336|67513.6247583017|2725|0.001968|11245.6437|0.00201|9988.0
REIUSDT|reiusdt|0.029992|0.029992|0.029696|0.029696|4512.181283518512|132.9494071542|15|0.029896|4115.2263|0.030043|400.0
MEMEUSDT|memeusdt|0.023664|0.025665|0.023457|0.025043|177490150.81826514|4291956.861529417|52267|0.025034|7795.4151|0.02506|3506.3443
RDNTUSDT|rdntusdt|0.2923|0.3039|0.2902|0.3006|6318985.969748179|1876090.57469851|21516|0.3005|532.0241|0.3008|3355.196
VISIONUSDT|visionusdt|0.0050054|0.0051986|0.0049993|0.0051541|12716635.366599835|64687.45054958701|4051|0.0051408|94979.3428|0.0051994|4759.9764
KTUSDT|ktusdt|0.001152|0.001162|0.001141|0.001142|68445456.42106007|78599.6016777971|1283|0.001141|8656.8338|0.001142|69384.4891
TAVAUSDT|tavausdt|0.07172|0.07246|0.06851|0.07122|14095844.49127368|1001108.086718759|23244|0.07101|487.9332|0.07146|684.693
DFIUSDT|dfiusdt|0.109|0.1104|0.1064|0.1072|16378045.662682794|1778505.58015714|30971|0.1071|111.7257|0.1073|206.6288
MONOUSDT|monousdt|0.0119|0.0129|0.0119|0.0126|26712.6627|334.8852428|24|0.0125|4665.8064|0.0129|2552.3134
FNSAUSDT|fnsausdt|32.1796|33.1347|31.904|32.7226|3955.1186|128502.37387876|3846|32.6673|1.3264|32.768|0.317
ROCKUSDT|rockusdt|0.00019419|0.00019538|0.00019185|0.00019337|6530619041.109653|1266349.1730938419|34495|0.00019186|130688.67|0.00019496|136624.46
INRUSDT|inrusdt|0.018119|0.021407|0.017915|0.018323|2240557.9744690065|41555.882391133|3240|0.018073|10695.3753|0.018517|740.4768
XDEFIUSDT|xdefiusdt|0.1154|0.1228|0.1154|0.1221|4290.083741349481|511.27978721|18|0.1208|1006.3078|0.122|1006.3078
TRXUSDT|trxusdt|0.12567|0.126029|0.124351|0.125593|181642013.0162688|22743805.062175103|69960|0.125591|1590.04|0.125605|169.0
LPTUSDT|lptusdt|7.6535|7.756|7.5777|7.6688|369417.5528065251|2825805.23702982|41980|7.6657|180.0499|7.6735|164.361
GRAILUSDT|grailusdt|1691.61|1747.28|1687.47|1735.57|477.081006|813477.85895463|13789|1735.58|0.006601|1756.03|0.006264
HFTUSDT|hftusdt|0.3358|0.3432|0.3337|0.3408|14075162.93879472|4746521.55242097|67877|0.3407|293.2542|0.3409|386.3935
ORBSUSDT|orbsusdt|0.035978|0.036526|0.035763|0.036098|9564518.7851|344387.6743973904|7624|0.036082|41476.5657|0.036119|751.0989
MBOXUSDT|mboxusdt|0.3115|0.3233|0.3061|0.3182|694236.9688184765|216405.27910446|4576|0.3168|1712.1086|0.3198|297.9146
GRTUSDT|grtusdt|0.170121|0.1766|0.16917|0.174034|15508738.26714446|2673086.514056528|56772|0.174034|277.8801|0.174098|721.7361
NEXTUSDT|nextusdt|0.3264|0.3444|0.3215|0.3406|3153846.092302034|1045644.21258268|16659|0.339|226.41|0.3421|43.0
BANANAUSDT|bananausdt|20.7016|22.7088|19.0233|20.9252|52218.214994204|1081764.49879618|13470|20.7926|7.695|21.0873|2.825
EPIKUSDT|epikusdt|0.01328|0.016319|0.01325|0.014144|7168656.655806348|97318.1154588862|2293|0.013946|2081.5065|0.014227|3378.8316
BBFUSDT|bbfusdt|0.1121|0.1142|0.1101|0.1124|3887677.2904713615|437135.3860720086|9708|0.1109|925.6077|0.114|233.0047
KRRXUSDT|krrxusdt|0.1214|0.134|0.121|0.126|646136.4314231563|79970.7352446|2106|0.125|1305.2422|0.1275|147.5996
TRXETH|trxeth|4.913e-05|4.929e-05|4.668e-05|4.72e-05|597530.0046233458|28.7822710302|2261|4.719e-05|5929.49|4.723e-05|2265.06
CVCUSDT|cvcusdt|0.0964|0.0981|0.0957|0.0968|15899717.32645094|1536348.121089|24739|0.0968|1701.53|0.0969|1958.86
