gen_name|original_name|base_currency|quote_currency|display_name|base_display_name|quote_display_name|price_step|qty_step|qty_min|quote_qty_step|quote_qty_min|taker_fee_rate|maker_fee_rate|groups|group_steps|status|display_status
FBTCUSDT|FBTC-USDT|FBTC|USDT|FBTC-USDT|FBTC|USDT|0.001|1|1|0.000000000001|10|0.000700000000|0.000200000000|['1', '10', '100', '1000']|['0.001000000000', '0.010000000000', '0.100000000000', '1.000000000000']|1|2
FFANUSDT|FFAN-USDT|FFAN|USDT|FFAN-USDT|FFAN|USDT|0.000001|1|1|0.000000000001|10|0.000700000000|0.000200000000|['1', '10', '100', '1000']|['0.000001000000', '0.000010000000', '0.000100000000', '0.001000000000']|1|2
FILUSD|FIL-USD|FIL|USD|FIL-USD|FIL|USD|0.001|0.01|0.01|0.000000000001|1|0.001000000000|0.000800000000|['1', '10', '100', '1000']|['0.001000000000', '0.010000000000', '0.100000000000', '1.000000000000']|1|2
FILUSDT|FIL-USDT|FIL|USDT|FIL-USDT|FIL|USDT|0.001|0.01|0.01|0.000000000001|1|0.001000000000|0.000800000000|['1', '10', '100', '1000']|['0.001000000000', '0.010000000000', '0.100000000000', '1.000000000000']|1|1
FISHUSDT|FISH-USDT|FISH|USDT|FISH-USDT|FISH|USDT|0.0001|1|1|0.000000000001|10|0.000700000000|0.000200000000|['1', '10', '100', '1000']|['0.000100000000', '0.001000000000', '0.010000000000', '0.100000000000']|1|2
FLOKIUSDT|FLOKI-USDT|FLOKI|USDT|FLOKI-USDT|FLOKI|USDT|0.00000001|1|1|0.000000000001|10|0.001000000000|0.000800000000|['1', '10', '100', '1000']|['0.000000010000', '0.000000100000', '0.000001000000', '0.000010000000']|1|1
FLUXUSDT|FLUX-USDT|FLUX|USDT|FLUX-USDT|FLUX|USDT|0.0001|1|1|0.000000000001|10|0.000700000000|0.000200000000|['1', '10', '100', '1000']|['0.000100000000', '0.001000000000', '0.010000000000', '0.100000000000']|1|2
FOURUSDT|FOUR-USDT|FOUR|USDT|FOUR-USDT|FOUR|USDT|0.00001|1|1|0.000000000001|10|0.000700000000|0.000200000000|['1', '10', '100', '1000']|['0.000010000000', '0.000100000000', '0.001000000000', '0.010000000000']|1|2
FOXSUSDT|FOXS-USDT|FOXS|USDT|FOXS-USDT|FOXS|USDT|0.00001|1|1|0.000000000001|10|0.000700000000|0.000200000000|['1', '10', '100', '1000']|['0.000010000000', '0.000100000000', '0.001000000000', '0.010000000000']|1|2
FRAMUSDT|FRAM-USDT|FRAM|USDT|FRAM-USDT|FRAM|USDT|0.00001|1|1|0.000000000001|10|0.000700000000|0.000200000000|['1', '10', '100', '1000']|['0.000010000000', '0.000100000000', '0.001000000000', '0.010000000000']|1|2
FRAXUSDT|FRAX-USDT|FRAX|USDT|FRAX-USDT|FRAX|USDT|0.0001|1|1|0.000000000001|10|0.000700000000|0.000200000000|['1', '10', '100', '1000']|['0.000100000000', '0.001000000000', '0.010000000000', '0.100000000000']|1|2
FTAIUSDT|FTAI-USDT|FTAI|USDT|FTAI-USDT|FTAI|USDT|0.0000001|1|1|0.000000000001|10|0.000700000000|0.000200000000|['1', '10', '100', '1000']|['0.000000100000', '0.000001000000', '0.000010000000', '0.000100000000']|1|2
FTMUSDT|FTM-USDT|FTM|USDT|FTM-USDT|FTM|USDT|0.001|0.1|0.1|0.000000000001|10|0.001000000000|0.000800000000|['1', '10', '100', '1000']|['0.001000000000', '0.010000000000', '0.100000000000', '1.000000000000']|1|1
FTTUSD|FTT-USD|FTT|USD|FTT-USD|FTT|USD|0.01|0.01|0.01|0.000000000001|10|0.001000000000|0.000800000000|['1', '10', '100', '1000']|['0.010000000000', '0.100000000000', '1.000000000000', '10.000000000000']|1|2
FTTUSDT|FTT-USDT|FTT|USDT|FTT-USDT|FTT|USDT|0.01|0.01|0.01|0.000000000001|1|0.000700000000|0.000200000000|['1', '10', '100', '1000']|['0.010000000000', '0.100000000000', '1.000000000000', '10.000000000000']|1|2
FUSEUSDT|FUSE-USDT|FUSE|USDT|FUSE-USDT|FUSE|USDT|0.0001|1|1|0.000000000001|10|0.000700000000|0.000200000000|['1', '10', '100', '1000']|['0.000100000000', '0.001000000000', '0.010000000000', '0.100000000000']|1|2
GALUSDT|GAL-USDT|GAL|USDT|GAL-USDT|GAL|USDT|0.001|0.001|0.001|0.000000000001|10|0.001000000000|0.000800000000|['1', '10', '100', '1000']|['0.001000000000', '0.010000000000', '0.100000000000', '1.000000000000']|1|1
GALAUSDT|GALA-USDT|GALA|USDT|GALA-USDT|GALA|USDT|0.0001|1|1|0.000000000001|10|0.001000000000|0.000800000000|['1', '10', '100', '1000']|['0.000100000000', '0.001000000000', '0.010000000000', '0.100000000000']|1|2
GASOUSDT|GASO-USDT|GASO|USDT|GASO-USDT|GASO|USDT|0.000000001|1|1|0.000000000001|10|0.000700000000|0.000200000000|['1', '10', '100', '1000']|['0.000000001000', '0.000000010000', '0.000000100000', '0.000001000000']|1|2
GEMNUSDT|GEMN-USDT|GEMN|USDT|GEMN-USDT|GEMN|USDT|0.00000001|1|1|0.000000000001|10|0.000700000000|0.000200000000|['1', '10', '100', '1000']|['0.000000010000', '0.000000100000', '0.000001000000', '0.000010000000']|1|2
GFTUSDT|GFT-USDT|GFT|USDT|GFT-USDT|GFT|USDT|0.00001|1|1|0.000000000001|10|0.000700000000|0.000200000000|['1', '10', '100', '1000']|['0.000010000000', '0.000100000000', '0.001000000000', '0.010000000000']|1|2
