coin|name|inner_coin|inner_name|depositenable|withdrawenable|network
MCASH|Monsoon Finance|MCASH|Monsoon Finance|False|True|Polygon(MATIC)
XODEX|Xodex|XODEX|Xodex|True|True|BNB Smart Chain(BEP20)
BPRIVA|Privapp Network|BPRIVA|Privapp Network|True|True|BNB Smart Chain(BEP20)
SOC|Socrates|SOC|Socrates|True|True|Ethereum(ERC20)
CVNT|ContentValueNetwork|CVNT|ContentValueNetwork|False|False|CVNT
API3|API3|API3|API3|True|True|Ethereum(ERC20)
WTFOLD|fees.wtf|WTFOLD|fees.wtf|False|True|Ethereum(ERC20)
DOGEBLUE|Doge Blue|DOGEBLUE|Doge Blue|False|True|BNB Smart Chain(BEP20)
SOH|Stohn Coin|SOH|Stohn Coin|False|True|SOH
TOMI|TOMI|TOMI|TOMI|True|True|Ethereum(ERC20)
SOL|Solana|SOL|Solana|True|True|Solana(SOL)
SON|Souni|SON|Souni|True|True|BNB Smart Chain(BEP20)
BNA|BANANATOK|BNA|BANANATOK|True|True|Ethereum(ERC20)
SOP|SoundProtocol|SOP|SoundProtocol|True|True|BNB Smart Chain(BEP20)
CELT|Celestial|CELT|Celestial|True|True|OKT
SOS|SOS|SOS|SOS|True|True|Ethereum(ERC20)
BNC|BIFROST-POLKADOT|BNC|Bifrost|True|True|BNC
BNC|BIFROST-POLKADOT|BNC|BIFROST-POLKADOT|True|True|BNCPOLKA
CELR|Celer Network|CELR|Celer Network|True|True|Ethereum(ERC20)
BNB|BNB-BSC|BNB|Binance Coin|False|False|BNB Beacon Chain(BEP2)
BNB|BNB-BSC|BNB|BNB-BSC|True|True|BNB Smart Chain(BEP20)
TON2|TON Crystal|TON2|TON Crystal|False|False|FREETON
TON1|TomaInfo|TON1|TomaInfo|False|False|TON
TOMO|TomoChain|TOMO|TomoChain|False|False|NONE
CELO|CELO|CELO|CELO|True|True|CELO
SOV|Shib Original Vision|SOV|Shib Original Vision|False|True|Ethereum(ERC20)
BNF|BonFi|BNF|BonFi|False|True|Ethereum(ERC20)
CELL|Cellframe|CELL|Cellframe|True|True|Ethereum(ERC20)
FUNFIOLD|FUNFI|FUNFIOLD|FUNFI|False|True|BNB Smart Chain(BEP20)
ZKUSD|Goal3|ZKUSD|Goal3|False|True|zkSync Era
SPA|Sperax|SPA|Sperax|True|True|Ethereum(ERC20)
SPA|Sperax|SPA|Sperax|True|True|Arbitrum One(ARB)
SIMPSONSINU|The Simpsons Inu|SIMPSONSINU|The Simpsons Inu|False|True|BNB Smart Chain(BEP20)
MBOXX|MemeBoxToken|MBOXX|MemeBoxToken|True|True|Ethereum(ERC20)
BNS|BNS|BNS|BNS|False|True|Ethereum(ERC20)
