gen_name|name_BIT|name_EXMO|name_HTX|name_OKX|name_MEXC|count_none
REVOUSDT|None|None|revousdt|None|REVOUSDT|3
GALAUSDT|GALA-USDT|None|galausdt|GALA-USDT|GALAUSDT|1
GRAILUSDT|None|None|grailusdt|None|GRAILUSDT|3
MATICUSDC|None|None|None|MATIC-USDC|MATICUSDC|3
DMAILUSDT|None|None|None|DMAIL-USDT|DMAILUSDT|3
ADAUSDC|None|None|None|ADA-USDC|ADAUSDC|3
USDDUSDT|None|None|usddusdt|None|USDDUSDT|3
AAVEUSDT|AAVE-USDT|AAVE_USDT|aaveusdt|AAVE-USDT|AAVEUSDT|0
BADGERUSDT|None|None|badgerusdt|BADGER-USDT|BADGERUSDT|2
AUCTIONUSDT|None|None|auctionusdt|AUCTION-USDT|AUCTIONUSDT|2
ASTRUSDT|None|None|astrusdt|ASTR-USDT|ASTRUSDT|2
NODLUSDT|None|None|nodlusdt|None|NODLUSDT|3
MAVIAUSDT|None|None|maviausdt|None|MAVIAUSDT|3
PLCUCUSDT|None|PLCUC_USDT|None|None|PLCUCUSDT|3
AITECHUSDT|None|None|aitechusdt|None|AITECHUSDT|3
SUIUSDT|None|SUI_USDT|suiusdt|SUI-USDT|SUIUSDT|1
FIROUSDT|None|None|firousdt|None|FIROUSDT|3
PSTAKEUSDT|None|None|pstakeusdt|PSTAKE-USDT|PSTAKEUSDT|2
CVPUSDT|None|None|cvpusdt|None|CVPUSDT|3
TPYUSDT|None|None|tpyusdt|None|TPYUSDT|3
SSVUSDT|None|None|ssvusdt|SSV-USDT|SSVUSDT|2
LINKBTC|None|LINK_BTC|linkbtc|LINK-BTC|None|2
SPSUSDT|None|None|spsusdt|None|SPSUSDT|3
EOSBTC|None|EOS_BTC|eosbtc|EOS-BTC|EOSBTC|1
CLVUSDT|None|None|clvusdt|CLV-USDT|CLVUSDT|2
HAOUSDT|None|None|haousdt|None|HAOUSDT|3
BLOKUSDT|None|None|None|BLOK-USDT|BLOKUSDT|3
CRTSUSDT|None|None|crtsusdt|None|CRTSUSDT|3
SUSHIUSDT|SUSHI-USDT|None|sushiusdt|SUSHI-USDT|SUSHIUSDT|1
RNDRUSDT|RNDR-USDT|None|rndrusdt|RNDR-USDT|RNDRUSDT|1
MUBIUSDT|None|None|mubiusdt|None|MUBIUSDT|3
XRPETH|None|XRP_ETH|None|XRP-ETH|XRPETH|2
FANCUSDT|None|None|fancusdt|None|FANCUSDT|3
RPKUSDT|None|None|rpkusdt|None|RPKUSDT|3
ETCBTC|None|ETC_BTC|etcbtc|ETC-BTC|ETCBTC|1
NFPUSDT|None|None|nfpusdt|None|NFPUSDT|3
SISUSDT|None|None|sisusdt|SIS-USDT|None|3
FORTHUSDT|None|None|forthusdt|FORTH-USDT|FORTHUSDT|2
ATOMUSDC|None|None|None|ATOM-USDC|ATOMUSDC|3
